frequency,accel_z
20,0.143569
20,0.052642
20,0.014357
20,0.100499
20,0.057428
20,-0.062213
20,0.081356
20,0.105284
20,0.057428
20,0.119641
20,0.028714
20,0.052642
20,0.0335
20,0.224925
20,0.172283
20,0.009571
20,0.071785
20,0.0335
20,0.023928
30,0.038285
30,-0.014357
30,0.019143
30,0.114855
30,0.105284
30,0.023928
30,0.0335
30,-0.105284
30,0.167498
30,0.11007
30,0.004786
30,-0.004786
30,0.143569
30,-0.057428
30,0.066999
30,0.057428
30,0.07657
30,0.18664
30,0.129212
40,0.052642
40,0.047856
40,0.004786
40,0.0
40,0.181855
40,0.167498
40,0.07657
40,0.119641
40,0.014357
40,-0.071785
40,0.143569
40,-0.009571
40,0.062213
40,0.0
40,0.181855
40,0.11007
40,0.07657
40,0.014357
50,0.081356
50,0.129212
50,-0.038285
50,0.038285
50,0.248854
50,-0.066999
50,0.22014
50,0.028714
50,-0.014357
50,0.143569
50,0.066999
50,0.047856
50,0.153141
50,0.124427
50,-0.081356
50,0.090927
50,0.22014
50,-0.143569
50,0.22014
60,0.07657
60,0.224925
60,-0.028714
60,0.129212
60,0.272782
60,-0.028714
60,-0.019143
60,0.205783
60,-0.057428
60,-0.028714
60,0.315853
60,0.043071
60,0.0335
60,0.200997
60,0.086142
60,-0.267996
60,0.057428
60,0.023928
60,-0.138784
70,0.18664
70,0.019143
70,0.019143
70,-0.023928
70,0.090927
70,0.043071
70,0.153141
70,0.100499
70,0.07657
70,0.081356
70,-0.019143
70,0.153141
70,0.090927
70,0.100499
70,0.066999
70,0.114855
70,-0.047856
70,-0.095713
70,-0.047856
80,0.148355
80,0.205783
80,-0.07657
80,0.349352
80,-0.607777
80,0.019143
80,0.602991
80,-0.234497
80,-0.086142
80,0.339781
80,-0.550349
80,0.334995
80,0.392423
80,-0.468993
80,0.550349
80,0.272782
80,-0.387637
80,0.468993
80,0.181855
90,-0.445065
90,0.540778
90,0.387637
90,-0.057428
90,0.124427
90,0.229711
90,0.253639
90,-0.023928
90,-0.157926
90,0.244068
90,0.11007
90,0.200997
90,0.133998
90,-0.449851
90,0.196211
90,0.052642
90,0.004786
90,0.114855
90,-0.244068
100,0.052642
100,0.215354
100,0.210568
100,0.014357
100,-0.334995
100,0.014357
100,0.066999
100,0.181855
100,0.291924
100,-0.37328
100,0.105284
100,0.138784
100,0.277567
100,0.157926
100,-0.205783
100,0.229711
100,0.224925
100,0.11007
110,-0.153141
110,-0.023928
110,0.148355
110,0.26321
110,0.086142
110,-0.387637
110,0.148355
110,-0.382852
110,0.114855
110,0.401994
110,0.066999
110,-0.272782
110,0.090927
110,0.066999
110,0.18664
110,0.062213
110,-0.349352
110,0.287139
110,0.411566
120,0.047856
120,-0.468993
120,0.210568
120,0.488136
120,0.095713
120,-0.191426
120,0.004786
120,-0.349352
120,0.33021
120,0.440279
120,-0.114855
120,-0.167498
120,0.215354
120,0.26321
120,-0.11007
120,-0.038285
120,0.325424
120,0.368495
120,-0.397209
120,0.047856
130,0.368495
130,0.177069
130,-0.464208
130,0.114855
130,0.464208
130,0.0335
130,-0.440279
130,0.200997
130,-0.569492
130,0.071785
130,0.215354
130,-0.358923
130,0.090927
130,0.847059
130,0.133998
130,-0.914058
130,0.057428
130,0.885344
130,0.181855
140,-0.29671
140,0.162712
140,0.014357
140,-0.588634
140,0.196211
140,0.995414
140,0.11007
140,-0.928415
140,-0.665205
140,0.411566
140,0.378066
140,-0.51685
140,0.363709
140,1.115055
140,-0.320638
140,-0.287139
140,0.612563
140,-0.100499
140,-0.550349
150,0.445065
150,0.617348
150,-0.674776
150,0.124427
150,0.741775
150,-0.411566
150,-0.258425
150,0.607777
150,0.234497
150,-0.497707
150,-0.191426
150,0.875773
150,-0.22014
150,-0.435494
150,0.904487
150,-0.282353
150,-0.684347
150,0.598206
150,0.311067
150,-0.732204
160,0.421137
160,0.598206
160,-0.765703
160,0.459422
160,0.708275
160,-0.78006
160,0.200997
160,1.004986
160,-0.880559
160,0.40678
160,-0.770489
160,0.459422
160,0.244068
160,-0.646062
160,0.708275
160,0.105284
160,-0.655633
170,0.875773
170,0.311067
170,-0.78006
170,1.024128
170,-0.157926
170,-0.756132
170,0.660419
170,0.047856
170,-0.401994
170,0.933201
170,-0.248854
170,-0.344566
170,0.914058
170,-0.239282
170,-0.545563
170,1.009771
170,-0.636491
180,-0.387637
180,1.445265
180,-1.182054
180,0.349352
180,1.335195
180,-1.009771
180,0.588634
180,0.248854
180,-0.9667
180,0.78006
180,-0.066999
180,-0.81356
180,1.531406
180,-0.378066
180,-0.401994
180,1.473979
180,-0.507278
180,-0.311067
180,0.602991
180,-0.210568
180,0.48335
190,-0.51685
190,-0.138784
190,0.78006
190,-0.904487
190,0.622134
190,0.291924
190,-0.933201
190,0.641276
190,-0.019143
190,0.272782
190,0.105284
190,-0.334995
190,1.081556
190,-0.612563
190,-0.210568
200,0.602991
200,-0.507278
200,0.985843
200,-0.48335
200,-0.062213
200,0.29671
200,-0.521635
200,1.229911
200,-0.502493
200,0.33021
200,0.023928
200,-0.607777
200,1.028914
200,-0.622134
200,0.349352
200,0.105284
200,-0.59342
200,0.942772
200,-0.531207
210,0.914058
210,-0.722632
210,0.746561
210,-0.502493
210,0.334995
210,-0.090927
210,-0.904487
210,1.253839
210,-0.239282
210,0.899701
210,-0.646062
210,0.07657
210,0.344566
210,-0.550349
210,1.048056
210,-0.454636
210,0.751346
210,-0.579063
220,-0.0335
220,0.392423
220,0.277567
220,-0.210568
220,0.29671
220,0.559921
220,-0.464208
220,0.808774
220,-0.574277
220,0.775274
220,-0.29671
220,0.602991
230,-0.028714
230,0.181855
230,0.320638
230,-0.574277
230,0.851845
230,-0.512064
230,0.818345
230,-0.789632
230,0.473779
230,-0.267996
230,-0.684347
230,0.392423
230,0.07657
230,0.196211
230,0.306281
240,-0.215354
240,-0.038285
240,-0.382852
240,0.981057
240,-1.028914
240,0.478565
240,-0.306281
240,0.665205
240,-0.416351
240,0.631705
240,-0.641276
240,0.133998
240,0.320638
240,0.047856
240,0.588634
240,-0.239282
240,0.234497
240,0.354138
240,-0.004786
240,0.540778
240,-0.023928
240,0.445065
240,-0.066999
250,0.33021
250,-0.177069
250,0.038285
250,-0.306281
250,0.468993
250,-0.468993
250,0.765703
250,-0.363709
250,0.770489
250,-0.29671
250,0.66999
250,-0.421137
250,-0.473779
250,0.70349
250,-0.842273
250,0.736989
250,-0.947558
260,0.827917
260,-0.837488
260,0.770489
260,-0.535992
260,0.875773
260,-0.224925
260,0.684347
260,-0.468993
260,0.531207
260,-0.349352
260,0.435494
260,-0.502493
260,0.258425
260,-0.229711
260,0.344566
260,-0.306281
260,0.081356
260,0.363709
260,0.473779
260,-0.081356
270,-0.588634
270,0.239282
270,-0.129212
270,0.741775
270,-0.689133
270,0.727418
270,-0.100499
270,0.526421
270,-1.124627
270,0.344566
280,0.057428
280,0.579063
280,-0.478565
280,0.392423
280,0.40678
280,0.019143
280,-0.339781
280,0.923629
280,-0.196211
280,0.425922
280,-0.746561
280,0.468993
280,-0.047856
280,0.440279
280,-0.004786
280,-0.277567
290,0.37328
290,-0.301496
290,0.650848
290,-0.870987
290,0.401994
290,-0.416351
290,0.574277
290,-0.090927
290,-0.138784
290,0.239282
290,0.009571
290,1.172483
290,-1.028914
290,0.07657
290,0.70349
290,-0.478565
290,-0.172283
290,0.215354
290,0.760918
290,-0.904487
300,0.555135
300,0.492921
300,-0.363709
300,0.492921
300,0.052642
300,0.588634
300,-0.904487
300,0.315853
300,0.512064
300,0.689133
300,-0.464208
300,0.26321
300,0.70349
300,-0.722632
300,0.550349
300,-0.468993
300,-0.047856
310,0.411566
310,-0.215354
310,0.468993
310,-0.291924
310,0.392423
310,0.153141
310,-0.282353
310,0.378066
310,-0.086142
310,0.837488
310,-0.081356
310,-0.138784
310,-0.440279
310,0.043071
320,0.81356
320,-0.679562
320,0.985843
320,0.985843
320,-1.024128
320,1.134198
320,0.325424
320,-0.770489
320,0.129212
320,0.234497
320,-0.354138
320,-0.401994
320,0.057428
320,0.655633
320,-1.143769
320,0.914058
320,0.727418
320,-0.899701
320,-0.009571
320,0.574277
320,-0.674776
320,0.646062
320,0.066999
320,-0.665205
320,0.866202
320,-0.574277
320,0.306281
320,0.33021
320,-0.014357
330,-0.043071
330,0.62692
330,-0.579063
330,0.569492
330,0.066999
330,-0.622134
330,0.985843
330,-0.660419
330,0.325424
330,0.081356
330,-0.569492
330,0.746561
330,-0.119641
330,-0.545563
330,0.85663
330,0.062213
330,-0.51685
330,0.851845
330,-0.382852
330,-0.22014
330,0.784846
330,-0.636491
330,0.023928
330,0.818345
330,-0.507278
330,0.043071
330,0.421137
330,-0.239282
330,-0.0335
330,-0.153141
330,0.535992
330,-0.378066
330,-0.162712
330,0.914058
330,-0.387637
330,-0.468993
330,1.004986
330,-0.320638
330,-0.478565
330,0.741775
330,0.291924
330,-0.602991
330,0.512064
330,0.291924
330,-0.535992
330,0.526421
330,0.59342
330,-0.588634
330,0.37328
330,1.229911
330,-0.043071
330,-1.052842
330,0.464208
330,1.18684
330,0.0335
330,-0.631705
330,0.445065
330,0.29671
330,-0.277567
330,0.851845
330,0.157926
330,-0.904487
330,0.26321
330,0.933201
330,-0.090927
330,-0.320638
330,0.784846
330,-0.114855
330,-0.153141
330,0.224925
330,-0.07657
330,0.181855
330,0.114855
330,-0.205783
330,0.148355
330,0.066999
330,-0.019143
330,0.157926
330,0.004786
330,0.071785
330,0.043071
330,0.009571
330,0.239282
330,0.047856
330,0.014357
